City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
229,Torbay,CA,47.6666,-52.7314,40.87,76,75,9.22,broken clouds
230,Monki,PL,53.405,22.7979,42.67,92,100,6.96,overcast clouds
231,Kismayo,SO,-0.3582,42.5454,77.77,81,15,18.86,few clouds
232,Tocopilla,CL,-22.092,-70.1979,71.33,63,1,6.06,clear sky
233,Pushkino,RU,56.0172,37.8667,34.09,92,80,7.58,broken clouds
234,Havoysund,NO,70.9963,24.6622,23.88,71,100,9.51,overcast clouds
235,Thinadhoo,MV,0.5333,72.9333,81.82,70,69,7.56,broken clouds
236,Culpeper,US,38.5004,-77.9664,56.44,46,0,9.22,clear sky
237,Taoudenni,ML,22.6783,-3.9836,77.81,13,23,18.07,few clouds
238,Kolokani,ML,13.5728,-8.0339,94.03,7,0,13.24,clear sky
239,Jiaohe,CN,43.7286,127.3447,4.91,99,85,0.98,overcast clouds
240,Fort Oglethorpe,US,34.949,-85.2569,56.86,46,0,1.01,clear sky
241,Grivenskaya,RU,45.6473,38.176,39.74,75,55,11.21,broken clouds
242,Tateyama,JP,34.9833,139.8667,37.42,81,75,17.27,mist
243,Lagoa,PT,39.05,-27.9833,58.26,72,39,9.28,scattered clouds
244,San Vicente,AR,-26.6167,-54.1333,85.89,39,37,6.24,scattered clouds
245,Hamilton,US,39.1834,-84.5333,41.76,68,0,11.5,clear sky
246,Colares,PT,38.7992,-9.4469,64.45,69,0,15.01,clear sky
247,Takapau,NZ,-40.0333,176.35,70.45,87,100,2.62,light rain
248,Sheltozero,RU,61.3667,35.3667,27.43,92,49,12.62,scattered clouds
249,Kharovsk,RU,59.9642,40.1912,26.85,96,100,7.38,light snow
250,Zhezkazgan,KZ,47.8043,67.7144,15.78,92,100,11.18,overcast clouds
251,Matagami,CA,49.7502,-77.6328,10.51,85,100,13.8,light snow
252,Port Keats,AU,-14.25,129.55,80.44,85,94,4.59,overcast clouds
253,Jiuquan,CN,39.7432,98.5174,25.5,38,89,2.35,overcast clouds
254,Haines Junction,CA,60.7522,-137.5108,0.75,99,30,4.25,scattered clouds
255,Asyut,EG,27.181,31.1837,60.98,39,4,12.59,clear sky
256,Hargeysa,SO,9.56,44.065,62.71,63,55,11.79,broken clouds
257,Veraval,IN,20.9,70.3667,73.2,54,1,4.23,clear sky
258,Tromso,NO,69.6496,18.957,26.62,68,75,19.57,light snow
259,Pokhara,NP,28.2333,83.9833,53.64,60,85,2.35,overcast clouds
260,Sitka,US,57.0531,-135.33,37.29,75,100,9.22,mist
261,Sampit,ID,-2.5333,112.95,73.6,95,99,1.95,overcast clouds
262,Kamalasai,TH,16.3384,103.5756,86.97,99,31,0.78,scattered clouds
263,Kytmanovo,RU,53.4593,85.4479,-16.55,98,12,2.35,few clouds
264,Uaua,BR,-9.8414,-39.4817,91.38,35,73,9.04,broken clouds
265,Port Hardy,CA,50.6996,-127.4199,45.75,100,75,3.44,broken clouds
266,Strezhevoy,RU,60.7333,77.5889,-4.02,98,75,5.01,broken clouds
267,Walvis Bay,NA,-22.9575,14.5053,79.75,61,17,10.36,few clouds
268,Port Macquarie,AU,-31.4333,152.9167,66.16,74,29,4.12,scattered clouds
269,Ponta Delgada,PT,37.7333,-25.6667,63.32,67,75,14.97,broken clouds
270,Winnemucca,US,40.973,-117.7357,24.85,86,0,3.44,clear sky
271,Chirongui,YT,-12.9319,45.1483,76.93,84,100,16.42,light rain
272,College,US,64.8569,-147.8028,-7.71,75,75,4.61,broken clouds
273,Tuensang,IN,26.2833,94.8333,52.59,97,99,1.57,overcast clouds
274,Amalner,IN,21.05,75.0667,73.02,31,32,8.52,scattered clouds
275,Bilibino,RU,68.0546,166.4372,-42.23,100,70,1.39,broken clouds
276,Aklavik,CA,68.2191,-135.0107,-17.57,69,100,3.44,light snow
277,Itupiranga,BR,-5.1347,-49.3267,84.52,71,86,3.6,light rain
278,Mitsamiouli,KM,-11.3847,43.2844,84.49,79,100,7.4,light rain
279,Deputatskiy,RU,69.3,139.9,-25.11,95,86,6.29,overcast clouds
280,Devonport,AU,-41.1667,146.35,56.01,69,13,7.4,few clouds
281,Seoul,KR,37.5683,126.9778,28.0,81,0,1.14,mist
282,Sur,OM,22.5667,59.5289,71.02,51,0,4.09,clear sky
283,Boditi,ET,6.9667,37.8667,69.66,39,76,4.88,broken clouds
284,Saldanha,ZA,-33.0117,17.9442,77.05,73,6,12.8,clear sky
285,Grinnell,US,41.743,-92.7224,26.31,86,100,10.36,overcast clouds
286,Carnarvon,AU,-24.8667,113.6333,80.67,74,38,4.61,scattered clouds
287,Coruripe,BR,-10.1256,-36.1756,88.34,52,53,18.61,broken clouds
288,Kalemie,CD,-5.9475,29.1947,73.98,79,87,2.42,overcast clouds
